alter_path,uc_target,statements_total,statements_ok,statements_fail,uc_cols_total,paired_cols,errors
knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_customer_masked,106,106,0,107,106,
knowledge/ProdSchemas/ComplianceDBs/RiskClassification/Wiki/dbo/Views/dbo.V_RiskClassificationDataLake.alter.sql,main.bi_db.bronze_riskclassification_dbo_v_riskclassificationdatalake,12,12,0,100,12,
knowledge/ProdSchemas/ExperianceDBs/fiktivo/Wiki/dbo/Tables/dbo.tblaff_PaymentHistory.alter.sql,main.bi_db.bronze_fiktivo_dbo_tblaff_paymenthistory,29,29,0,99,29,
knowledge/ProdSchemas/DB_Schema/etoro/Wiki/History/Tables/History.TradeProviderToInstrument.alter.sql,main.general.bronze_etoro_history_tradeprovidertoinstrument,18,18,0,93,18,
knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Trade/Views/Trade.ProviderToInstrument_Daily.alter.sql,main.trading.bronze_etoro_trade_providertoinstrument_daily,2,2,0,89,2,
knowledge/ProdSchemas/ExperianceDBs/fiktivo/Wiki/dbo/Tables/dbo.tblaff_Affiliates.alter.sql,main.bi_db.bronze_fiktivo_dbo_tblaff_affiliates,69,69,0,71,69,
knowledge/ProdSchemas/DB_Schema/etoro/Wiki/History/Views/History.Credit.alter.sql,main.general.bronze_etoro_history_credit,10,10,0,38,10,
knowledge/ProdSchemas/ExperianceDBs/RecurringInvestment/Wiki/RecurringInvestment/Tables/RecurringInvestment.PlanInstances.alter.sql,main.general.bronze_recurringinvestment_recurringinvestment_planinstances,32,32,0,33,32,
knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Trade/Tables/Trade.HedgeServer.alter.sql,main.general.bronze_etoro_trade_hedgeserver,29,29,0,29,29,
knowledge/ProdSchemas/ExperianceDBs/RecurringInvestment/Wiki/RecurringInvestment/Tables/RecurringInvestment.Plans.alter.sql,main.general.bronze_recurringinvestment_recurringinvestment_plans,25,25,0,26,25,
