uc_target,before,after,delta,total,status
main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_customer_masked,15,106,91,107,+91
main.bi_db.bronze_etoro_backoffice_tncdocument,2,12,10,12,FULL
main.bi_db.bronze_etoro_billing_currencysettings,1,6,5,6,FULL
main.bi_db.bronze_etoro_billing_merchantaccountrouting,2,10,8,10,FULL
main.bi_db.bronze_etoro_hedge_hbcaccountconfiguration,1,9,8,13,+8
main.bi_db.bronze_etoro_history_currencypricemaxdatewithsplitview,2,7,5,7,FULL
main.bi_db.bronze_etoro_history_liquidityprovidercontracts,1,12,11,12,FULL
main.bi_db.bronze_fiatdwhdb_dbo_eligibilityrules,3,11,8,11,FULL
main.bi_db.bronze_fiktivo_dbo_tblaff_affiliates,10,69,59,71,+59
main.bi_db.bronze_fiktivo_dbo_tblaff_banners,1,20,19,21,+19
main.bi_db.bronze_fiktivo_dbo_tblaff_languages,1,8,7,8,FULL
main.bi_db.bronze_fiktivo_dbo_tblaff_paymenthistory,29,29,0,99,unchanged
main.bi_db.bronze_riskclassification_dbo_v_riskclassificationdatalake,12,12,0,100,unchanged
main.bi_db.bronze_riskclassification_riskclassification_customeronboardingriskclassification,1,4,3,5,+3
main.bi_db.bronze_riskclassification_riskclassification_cysecriskclassificationparameter,1,8,7,8,FULL
main.bi_db.bronze_usabroker_apex_optionsreasoningform,1,5,4,5,FULL
main.bi_db.bronze_usabroker_apex_sketchinvestigationdonotappealreason,1,8,7,8,FULL
main.bi_db.gold_sql_dp_prod_we_dealing_dbo_dealing_nop_report,4,4,0,14,unchanged
main.general.bronze_etoro_dictionary_playerstatus,1,13,12,13,FULL
main.general.bronze_etoro_dictionary_state,1,4,3,4,FULL
main.general.bronze_etoro_hedge_viewexecutionlog_isnull,4,4,0,24,unchanged
main.general.bronze_etoro_history_credit,2,12,10,38,+10
main.general.bronze_etoro_history_tradeprovidertoinstrument,22,23,1,93,+1
main.general.bronze_etoro_trade_hedgeserver,2,29,27,29,FULL
main.general.bronze_etoro_trade_managebsl,1,12,11,15,+11
main.general.bronze_recurringinvestment_recurringinvestment_planinstances,1,32,31,33,+31
main.general.bronze_recurringinvestment_recurringinvestment_plans,4,25,21,26,+21
main.trading.bronze_etoro_hedge_hedgeserverinstrumentconfiguration,5,13,8,19,+8
main.trading.bronze_etoro_history_instrumenttofeeconfigv2,1,15,14,15,FULL
main.trading.bronze_etoro_trade_futuresmetadata,1,13,12,13,FULL
main.trading.bronze_etoro_trade_instrumentgroups,1,5,4,7,+4
main.trading.bronze_etoro_trade_instrumentmetadata_daily,8,8,0,37,unchanged
main.trading.bronze_etoro_trade_instrumenttofeeconfigv2,1,15,14,15,FULL
main.trading.bronze_etoro_trade_providertoinstrument_daily,3,4,1,89,+1
main.billing.bronze_etoro_backoffice_compensationreason,1,8,7,8,FULL
main.billing.bronze_etoro_backoffice_customerdocument,2,16,14,21,+14
main.billing.bronze_etoro_billing_aftrouting,2,9,7,10,+7
main.billing.bronze_etoro_billing_conversionfee,1,10,9,11,+9
main.billing.bronze_etoro_billing_customertofunding,1,14,13,14,FULL
main.billing.bronze_etoro_billing_depot,1,8,7,8,FULL
main.billing.bronze_etoro_billing_protocolmidsettings,1,10,9,10,FULL
main.billing.bronze_etoro_billing_redeem,3,24,21,24,FULL
main.billing.bronze_moneybusdb_moneybus_transferlimits,1,8,7,8,FULL
main.wallet.bronze_walletdb_wallet_customerwalletsview,2,13,11,13,FULL
main.wallet.bronze_walletdb_wallet_transactionsview,1,22,21,22,FULL
main.etoro_kpi_prep.v_population_active_traders_lite,4,14,10,14,FULL
main.finance.bronze_etoro_billing_financialdiscrepancy,1,9,8,9,FULL
main.dealing.bronze_etoro_hedge_portfolioconversionconfigurations,1,8,7,8,FULL
main.dealing.bronze_etoro_hedge_supportedinstrumentsaccount,1,6,5,6,FULL
