alter_path,uc_target,statements_total,statements_ok,statements_fail,uc_cols_total,paired_cols,errors
knowledge/ProdSchemas/ExperianceDBs/fiktivo/Wiki/dbo/Tables/dbo.tblaff_User.alter.sql,main.bi_db.bronze_fiktivo_dbo_tblaff_user,137,137,0,138,137,
knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Billing/Views/Billing.Funding_DataFactory.alter.sql,main.billing.bronze_etoro_billing_funding_datafactory,11,11,0,11,11,
knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.Response.alter.sql,main.general.bronze_etoro_dictionary_response,10,10,0,10,10,
knowledge/ProdSchemas/DB_Schema/etoro/Wiki/History/Tables/History.LiquidityProviders.alter.sql,main.trading.bronze_etoro_history_liquidityproviders,8,8,0,8,8,
knowledge/ProdSchemas/ComplianceDBs/RiskClassification/Wiki/Dictionary/Tables/Dictionary.CySecRiskClassificationParameter.alter.sql,main.bi_db.bronze_riskclassification_dictionary_cysecriskclassificationparameter,4,4,0,6,4,
knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Customer/Tables/Customer.RAFGiven.alter.sql,main.experience.bronze_etoro_customer_rafgiven,6,6,0,6,6,
knowledge/ProdSchemas/ExperianceDBs/fiktivo/Wiki/dbo/Tables/dbo.MediaTag.alter.sql,main.bi_db.bronze_fiktivo_dbo_mediatag,5,5,0,6,5,
knowledge/ProdSchemas/ExperianceDBs/fiktivo/Wiki/dbo/Tables/dbo.MediaTagBanner.alter.sql,main.bi_db.bronze_fiktivo_dbo_mediatagbanner,4,4,0,5,4,
knowledge/ProdSchemas/ComplianceDBs/USABroker/Wiki/Apex/Tables/Apex.OptionsReasoningFormQuestionsAnswers.alter.sql,main.bi_db.bronze_usabroker_apex_optionsreasoningformquestionsanswers,4,4,0,4,4,
knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.FinancialDiscrepancyType.alter.sql,main.finance.bronze_etoro_dictionary_financialdiscrepancytype,4,4,0,4,4,
knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.RedeemStatus.alter.sql,main.general.bronze_etoro_dictionary_redeemstatus,4,4,0,4,4,
knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Billing/Tables/Billing.BadBin.alter.sql,main.billing.bronze_etoro_billing_badbin,3,3,0,3,3,
knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.WithdrawType.alter.sql,main.bi_db.bronze_etoro_dictionary_withdrawtype,3,3,0,3,3,
knowledge/ProdSchemas/PaymentsDBs/MoneyBusDB/Wiki/Dictionary/Tables/Dictionary.TransactionStatusReasons.alter.sql,main.billing.bronze_moneybusdb_dictionary_transactionstatusreasons,3,3,0,3,3,
knowledge/ProdSchemas/PaymentsDBs/MoneyBusDB/Wiki/Dictionary/Tables/Dictionary.WithdrawStatusReasons.alter.sql,main.billing.bronze_moneybusdb_dictionary_withdrawstatusreasons,3,3,0,3,3,
knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.Flow.alter.sql,main.general.bronze_etoro_dictionary_flow,2,2,0,2,2,
knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.RiskManagementStatus.alter.sql,main.general.bronze_etoro_dictionary_riskmanagementstatus,2,2,0,2,2,
knowledge/ProdSchemas/DB_Schema/UserApiDB/Wiki/Dictionary/Tables/Dictionary.DltStatus.alter.sql,main.general.bronze_userapidb_dictionary_dltstatus,2,2,0,2,2,
knowledge/ProdSchemas/ExperianceDBs/fiktivo/Wiki/dbo/Tables/dbo.tblaff_BannerTypes.alter.sql,main.bi_db.bronze_fiktivo_dbo_tblaff_bannertypes,2,2,0,2,2,
knowledge/ProdSchemas/ExperianceDBs/fiktivo/Wiki/Dictionary/Tables/Dictionary.Action.alter.sql,main.general.bronze_fiktivo_dictionary_action,2,2,0,2,2,
knowledge/ProdSchemas/ExperianceDBs/fiktivo/Wiki/Dictionary/Tables/Dictionary.ChangedSections.alter.sql,main.general.bronze_fiktivo_dictionary_changedsections,2,2,0,2,2,
knowledge/ProdSchemas/ExperianceDBs/fiktivo/Wiki/Dictionary/Tables/Dictionary.MarketingRegion.alter.sql,main.experience.bronze_fiktivo_dictionary_marketingregion,2,2,0,2,2,
knowledge/ProdSchemas/ExperianceDBs/fiktivo/Wiki/Dictionary/Tables/Dictionary.PositionAssetType.alter.sql,main.bi_db.bronze_fiktivo_dictionary_positionassettype,2,2,0,2,2,
knowledge/ProdSchemas/ExperianceDBs/RecurringInvestment/Wiki/Dictionary/Tables/Dictionary.CopyPositionStatusID.alter.sql,main.experience.bronze_recurringinvestment_dictionary_copypositionstatusid,2,2,0,2,2,
knowledge/ProdSchemas/ExperianceDBs/RecurringInvestment/Wiki/Dictionary/Tables/Dictionary.CopyType.alter.sql,main.experience.bronze_recurringinvestment_dictionary_copytype,2,2,0,2,2,
knowledge/ProdSchemas/ExperianceDBs/RecurringInvestment/Wiki/Dictionary/Tables/Dictionary.HighLevelDepositStatus.alter.sql,main.experience.bronze_recurringinvestment_dictionary_highleveldepositstatus,2,2,0,2,2,
knowledge/ProdSchemas/ExperianceDBs/RecurringInvestment/Wiki/Dictionary/Tables/Dictionary.InstanceStatusID.alter.sql,main.bi_db.bronze_recurringinvestment_dictionary_instancestatusid,2,2,0,2,2,
knowledge/ProdSchemas/ExperianceDBs/RecurringInvestment/Wiki/Dictionary/Tables/Dictionary.MirrorOrderCreated.alter.sql,main.experience.bronze_recurringinvestment_dictionary_mirrorordercreated,2,2,0,2,2,
knowledge/ProdSchemas/ExperianceDBs/RecurringInvestment/Wiki/Dictionary/Tables/Dictionary.OrderStatus.alter.sql,main.experience.bronze_recurringinvestment_dictionary_orderstatus,2,2,0,2,2,
knowledge/ProdSchemas/ExperianceDBs/RecurringInvestment/Wiki/Dictionary/Tables/Dictionary.PlanEventCode.alter.sql,main.bi_db.bronze_recurringinvestment_dictionary_planeventcode,2,2,0,2,2,
knowledge/ProdSchemas/ExperianceDBs/RecurringInvestment/Wiki/Dictionary/Tables/Dictionary.PlanStatus.alter.sql,main.bi_db.bronze_recurringinvestment_dictionary_planstatus,2,2,0,2,2,
knowledge/ProdSchemas/ExperianceDBs/RecurringInvestment/Wiki/Dictionary/Tables/Dictionary.PlanType.alter.sql,main.experience.bronze_recurringinvestment_dictionary_plantype,2,2,0,2,2,
knowledge/ProdSchemas/ExperianceDBs/RecurringInvestment/Wiki/Dictionary/Tables/Dictionary.PositionStatus.alter.sql,main.experience.bronze_recurringinvestment_dictionary_positionstatus,2,2,0,2,2,
knowledge/ProdSchemas/PaymentsDBs/MoneyBusDB/Wiki/Dictionary/Tables/Dictionary.AccountTypes.alter.sql,main.bi_db.bronze_moneybusdb_dictionary_accounttypes,2,2,0,2,2,
knowledge/ProdSchemas/PaymentsDBs/MoneyBusDB/Wiki/Dictionary/Tables/Dictionary.TransactionStatuses.alter.sql,main.billing.bronze_moneybusdb_dictionary_transactionstatuses,2,2,0,2,2,
knowledge/ProdSchemas/PaymentsDBs/MoneyBusDB/Wiki/Dictionary/Tables/Dictionary.WithdrawCancellationSources.alter.sql,main.billing.bronze_moneybusdb_dictionary_withdrawcancellationsources,2,2,0,2,2,
knowledge/ProdSchemas/PaymentsDBs/MoneyBusDB/Wiki/Dictionary/Tables/Dictionary.WithdrawStatuses.alter.sql,main.billing.bronze_moneybusdb_dictionary_withdrawstatuses,2,2,0,2,2,
knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Billing/Tables/Billing.LimitedBins.alter.sql,main.billing.bronze_etoro_billing_limitedbins,1,1,0,1,1,
