uc_target,table_comment_set,cols_total,cols_commented,status
main.bi_db.bronze_etoro_dictionary_withdrawtype,True,3,3,FULLY COMMENTED
main.bi_db.bronze_fiktivo_dbo_mediatag,True,6,5,PARTIAL (5/6)
main.bi_db.bronze_fiktivo_dbo_mediatagbanner,True,5,4,PARTIAL (4/5)
main.bi_db.bronze_fiktivo_dbo_tblaff_bannertypes,True,2,2,FULLY COMMENTED
main.bi_db.bronze_fiktivo_dbo_tblaff_user,True,138,137,PARTIAL (137/138)
main.bi_db.bronze_fiktivo_dictionary_positionassettype,True,2,2,FULLY COMMENTED
main.bi_db.bronze_moneybusdb_dictionary_accounttypes,True,2,2,FULLY COMMENTED
main.bi_db.bronze_recurringinvestment_dictionary_instancestatusid,True,2,2,FULLY COMMENTED
main.bi_db.bronze_recurringinvestment_dictionary_planeventcode,True,2,2,FULLY COMMENTED
main.bi_db.bronze_recurringinvestment_dictionary_planstatus,True,2,2,FULLY COMMENTED
main.bi_db.bronze_riskclassification_dictionary_cysecriskclassificationparameter,True,6,4,PARTIAL (4/6)
main.bi_db.bronze_usabroker_apex_optionsreasoningformquestionsanswers,True,4,4,FULLY COMMENTED
main.billing.bronze_etoro_billing_badbin,True,3,3,FULLY COMMENTED
main.billing.bronze_etoro_billing_funding_datafactory,True,11,11,FULLY COMMENTED
main.billing.bronze_etoro_billing_limitedbins,True,1,1,FULLY COMMENTED
main.billing.bronze_moneybusdb_dictionary_transactionstatuses,True,2,2,FULLY COMMENTED
main.billing.bronze_moneybusdb_dictionary_transactionstatusreasons,True,3,3,FULLY COMMENTED
main.billing.bronze_moneybusdb_dictionary_withdrawcancellationsources,True,2,2,FULLY COMMENTED
main.billing.bronze_moneybusdb_dictionary_withdrawstatuses,True,2,2,FULLY COMMENTED
main.billing.bronze_moneybusdb_dictionary_withdrawstatusreasons,True,3,3,FULLY COMMENTED
main.general.bronze_etoro_dictionary_flow,True,2,2,FULLY COMMENTED
main.general.bronze_etoro_dictionary_redeemstatus,True,4,4,FULLY COMMENTED
main.general.bronze_etoro_dictionary_response,True,10,10,FULLY COMMENTED
main.general.bronze_etoro_dictionary_riskmanagementstatus,True,2,2,FULLY COMMENTED
main.general.bronze_fiktivo_dictionary_action,True,2,2,FULLY COMMENTED
main.general.bronze_fiktivo_dictionary_changedsections,True,2,2,FULLY COMMENTED
main.general.bronze_userapidb_dictionary_dltstatus,True,2,2,FULLY COMMENTED
main.trading.bronze_etoro_history_liquidityproviders,True,8,8,FULLY COMMENTED
main.experience.bronze_etoro_customer_rafgiven,True,6,6,FULLY COMMENTED
main.experience.bronze_fiktivo_dictionary_marketingregion,True,2,2,FULLY COMMENTED
main.experience.bronze_recurringinvestment_dictionary_copypositionstatusid,True,2,2,FULLY COMMENTED
main.experience.bronze_recurringinvestment_dictionary_copytype,True,2,2,FULLY COMMENTED
main.experience.bronze_recurringinvestment_dictionary_highleveldepositstatus,True,2,2,FULLY COMMENTED
main.experience.bronze_recurringinvestment_dictionary_mirrorordercreated,True,2,2,FULLY COMMENTED
main.experience.bronze_recurringinvestment_dictionary_orderstatus,True,2,2,FULLY COMMENTED
main.experience.bronze_recurringinvestment_dictionary_plantype,True,2,2,FULLY COMMENTED
main.experience.bronze_recurringinvestment_dictionary_positionstatus,True,2,2,FULLY COMMENTED
main.finance.bronze_etoro_dictionary_financialdiscrepancytype,True,4,4,FULLY COMMENTED
