source,wiki_md,kind,db,schema,table,uc_target,mapped,uc_exists,uc_table_comment_set,uc_total_cols,uc_commented_cols,uc_tier_drift_cols,uc_col_coverage_pct,bucket
SYNAPSE,knowledge/synapse/Wiki/BI_DB_dbo/Tables/AML_Alerts_OPS_Report.md,Table,,BI_DB_dbo,AML_Alerts_OPS_Report,,no,no,no,0,0,0,0.0,NOT_MAPPED
SYNAPSE,knowledge/synapse/Wiki/BI_DB_dbo/Tables/AML_German_Video_Ident.md,Table,,BI_DB_dbo,AML_German_Video_Ident,,no,no,no,0,0,0,0.0,NOT_MAPPED
SYNAPSE,knowledge/synapse/Wiki/BI_DB_dbo/Tables/AML_InstrumentMetaData_Daily_Email.md,Table,,BI_DB_dbo,AML_InstrumentMetaData_Daily_Email,,no,no,no,0,0,0,0.0,NOT_MAPPED
SYNAPSE,knowledge/synapse/Wiki/BI_DB_dbo/Tables/AML_InstrumentMetaData_Daily_Email_DayToDay_Changes.md,Table,,BI_DB_dbo,AML_InstrumentMetaData_Daily_Email_DayToDay_Changes,,no,no,no,0,0,0,0.0,NOT_MAPPED
SYNAPSE,knowledge/synapse/Wiki/BI_DB_dbo/Tables/Apex_UserProgramEnrolment_2024_01_25.md,Table,,BI_DB_dbo,Apex_UserProgramEnrolment_2024_01_25,,no,no,no,0,0,0,0.0,NOT_MAPPED
SYNAPSE,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_CLData_AllTimeData_Optimove.md,Table,,BI_DB_dbo,BI_CLData_AllTimeData_Optimove,,no,no,no,0,0,0,0.0,NOT_MAPPED
SYNAPSE,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure.md,Table,,BI_DB_dbo,BI_DB_ABook_Exposure,,no,no,no,0,0,0,0.0,NOT_MAPPED
SYNAPSE,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure_History.md,Table,,BI_DB_dbo,BI_DB_ABook_Exposure_History,,no,no,no,0,0,0,0.0,NOT_MAPPED
SYNAPSE,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure_NOPHedged.md,Table,,BI_DB_dbo,BI_DB_ABook_Exposure_NOPHedged,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_abook_exposure_nophedged,yes,yes,yes,16,16,0,100.0,OK
SYNAPSE,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AbuseAPI.md,Table,,BI_DB_dbo,BI_DB_AbuseAPI,,no,no,no,0,0,0,0.0,NOT_MAPPED
SYNAPSE,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AB_Test.md,Table,,BI_DB_dbo,BI_DB_AB_Test,,no,no,no,0,0,0,0.0,NOT_MAPPED
SYNAPSE,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AB_Test_Data.md,Table,,BI_DB_dbo,BI_DB_AB_Test_Data,,no,no,no,0,0,0,0.0,NOT_MAPPED
SYNAPSE,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AccountClosure.md,Table,,BI_DB_dbo,BI_DB_AccountClosure,,no,no,no,0,0,0,0.0,NOT_MAPPED
SYNAPSE,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ACH_PWMB_Flag_Report_History.md,Table,,BI_DB_dbo,BI_DB_ACH_PWMB_Flag_Report_History,,no,no,no,0,0,0,0.0,NOT_MAPPED
SYNAPSE,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AcquisitionFunnel_AGG.md,Table,,BI_DB_dbo,BI_DB_AcquisitionFunnel_AGG,,no,no,no,0,0,0,0.0,NOT_MAPPED
