schema_folder,object_name,object_kind,wiki_md,wiki_alter_exists,uc_table,uc_exists,uc_table_comment_set,uc_total_cols,uc_commented_cols,uc_tier_drift_cols,uc_col_coverage_pct,bucket
BI_DB_dbo,BI_DB_ABook_Exposure_NOPHedged,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure_NOPHedged.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_abook_exposure_nophedged,yes,yes,16,16,0,100.0,OK
BI_DB_dbo,BI_DB_AMLPeriodicReview,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AMLPeriodicReview.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_amlperiodicreview,yes,yes,70,70,0,100.0,OK
BI_DB_dbo,BI_DB_AML_SAR_Report_FCA,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AML_SAR_Report_FCA.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_aml_sar_report_fca,yes,yes,50,48,0,96.0,OK
BI_DB_dbo,BI_DB_AML_Singapore_Risk_Classification,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AML_Singapore_Risk_Classification.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_aml_singapore_risk_classification,yes,yes,45,45,0,100.0,OK
BI_DB_dbo,BI_DB_AML_SubEntity_Categorization,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AML_SubEntity_Categorization.md,yes,main.compliance.gold_sql_dp_prod_we_bi_db_dbo_bi_db_aml_subentity_categorization,yes,yes,9,9,0,100.0,OK
BI_DB_dbo,BI_DB_ASIC_ClientBalanceFinance,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ASIC_ClientBalanceFinance.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_asic_clientbalancefinance,yes,yes,22,19,0,86.4,OK
BI_DB_dbo,BI_DB_AppFlyer_Reports,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AppFlyer_Reports.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_appflyer_reports,yes,yes,89,83,0,93.3,OK
BI_DB_dbo,BI_DB_ApproperiatenessTest_FTP_CID_Level,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ApproperiatenessTest_FTP_CID_Level.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_approperiatenesstest_ftp_cid_level,yes,yes,11,11,0,100.0,OK
BI_DB_dbo,BI_DB_BO_Generated_Compensations,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_BO_Generated_Compensations.md,no,,no,no,0,0,0,0.0,MISSING_IN_UC
BI_DB_dbo,BI_DB_CB_CycleGap_Categorization,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_CB_CycleGap_Categorization.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cb_cyclegap_categorization,yes,yes,26,26,0,100.0,OK
BI_DB_dbo,BI_DB_CIDFirstDates,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_CIDFirstDates.md,yes,main.pii_data.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cidfirstdates,yes,yes,139,138,0,99.3,OK
BI_DB_dbo,BI_DB_CIDLevel_Settlement_Report,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_CIDLevel_Settlement_Report.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cidlevel_settlement_report,yes,yes,13,12,0,92.3,OK
BI_DB_dbo,BI_DB_CID_DailyCluster,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_CID_DailyCluster.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cid_dailycluster,yes,yes,13,13,0,100.0,OK
BI_DB_dbo,BI_DB_CID_DailyPanel_Club,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_CID_DailyPanel_Club.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cid_dailypanel_club,yes,yes,70,70,0,100.0,OK
BI_DB_dbo,BI_DB_CID_DailyPanel_FullData,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_CID_DailyPanel_FullData.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cid_dailypanel_fulldata,yes,yes,184,184,0,100.0,OK
BI_DB_dbo,BI_DB_CID_Daily_NWA,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_CID_Daily_NWA.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cid_daily_nwa,yes,yes,23,20,0,87.0,OK
BI_DB_dbo,BI_DB_CID_LifeStageDefinition,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_CID_LifeStageDefinition.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cid_lifestagedefinition,yes,yes,12,12,0,100.0,OK
BI_DB_dbo,BI_DB_CID_MonthlyPanel_FullData,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_CID_MonthlyPanel_FullData.md,yes,main.dwh.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cid_monthlypanel_fulldata,yes,yes,192,183,0,95.3,OK
BI_DB_dbo,BI_DB_Client_Balance_Aggregate_Level_New,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Client_Balance_Aggregate_Level_New.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_client_balance_aggregate_level_new,yes,yes,177,174,0,98.3,OK
BI_DB_dbo,BI_DB_Client_Balance_CID_Level_New,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Client_Balance_CID_Level_New.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_client_balance_cid_level_new,yes,yes,178,169,0,94.9,OK
BI_DB_dbo,BI_DB_Client_New_CompensationBreakdown,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Client_New_CompensationBreakdown.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_client_new_compensationbreakdown,yes,yes,34,31,0,91.2,OK
BI_DB_dbo,BI_DB_ClubChangeLogProduct,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ClubChangeLogProduct.md,yes,main.general.gold_sql_dp_prod_we_bi_db_dbo_bi_db_clubchangelogproduct,yes,yes,14,14,0,100.0,OK
BI_DB_dbo,BI_DB_Compliance_Illegal_Trades_Alerts,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Compliance_Illegal_Trades_Alerts.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_compliance_illegal_trades_alerts,yes,yes,41,40,0,97.6,OK
BI_DB_dbo,BI_DB_Compliance_Restriction_Lists_Forbidden_Trading,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Compliance_Restriction_Lists_Forbidden_Trading.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_compliance_restriction_lists_forbidden_trading,yes,yes,4,4,0,100.0,OK
BI_DB_dbo,BI_DB_CopyDailyData,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_CopyDailyData.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_copydailydata,yes,yes,47,43,0,91.5,OK
BI_DB_dbo,BI_DB_CreditRiskMatrix,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_CreditRiskMatrix.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_creditriskmatrix,yes,yes,66,66,0,100.0,OK
BI_DB_dbo,BI_DB_Cross_Selling_Monthly,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Cross_Selling_Monthly.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cross_selling_monthly,yes,yes,21,18,0,85.7,OK
BI_DB_dbo,BI_DB_Crypto_NOP,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Crypto_NOP.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_crypto_nop,yes,yes,41,38,0,92.7,OK
BI_DB_dbo,BI_DB_Crypto_NOP_CID,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Crypto_NOP_CID.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_crypto_nop_cid,yes,yes,39,36,0,92.3,OK
BI_DB_dbo,BI_DB_DCM_Dashboard,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DCM_Dashboard.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_dcm_dashboard,yes,yes,40,40,0,100.0,OK
BI_DB_dbo,BI_DB_DDR_CID_Level,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DDR_CID_Level.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_cid_level,yes,yes,175,174,0,99.4,OK
BI_DB_dbo,BI_DB_DDR_Customer_Daily_Status,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DDR_Customer_Daily_Status.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_customer_daily_status,yes,no,67,67,0,100.0,NO_TABLE_COMMENT
BI_DB_dbo,BI_DB_DDR_Customer_Periodic_Status,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DDR_Customer_Periodic_Status.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_customer_periodic_status,yes,yes,131,131,0,100.0,OK
BI_DB_dbo,BI_DB_DDR_Daily_Aggregated,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DDR_Daily_Aggregated.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_daily_aggregated,yes,yes,140,136,0,97.1,OK
BI_DB_dbo,BI_DB_DDR_Fact_AUM,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DDR_Fact_AUM.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_aum,yes,no,43,43,0,100.0,NO_TABLE_COMMENT
BI_DB_dbo,BI_DB_DDR_Fact_MIMO_AllPlatforms,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DDR_Fact_MIMO_AllPlatforms.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_mimo_allplatforms,yes,yes,24,23,0,95.8,OK
BI_DB_dbo,BI_DB_DDR_Fact_PnL,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DDR_Fact_PnL.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_pnl,yes,yes,18,17,0,94.4,OK
BI_DB_dbo,BI_DB_DDR_Fact_Revenue_Generating_Actions,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DDR_Fact_Revenue_Generating_Actions.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_revenue_generating_actions,yes,yes,27,26,0,96.3,OK
BI_DB_dbo,BI_DB_DDR_Fact_Trading_Volumes_And_Amounts,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DDR_Fact_Trading_Volumes_And_Amounts.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_trading_volumes_and_amounts,yes,yes,30,29,0,96.7,OK
BI_DB_dbo,BI_DB_DailyCommisionReport,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DailyCommisionReport.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailycommisionreport,yes,yes,80,76,0,95.0,OK
BI_DB_dbo,BI_DB_DailyCommisionReport_Instrument_Agg,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DailyCommisionReport_Instrument_Agg.md,yes,main.general.gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailycommisionreport_instrument_agg,yes,yes,66,65,0,98.5,OK
BI_DB_dbo,BI_DB_DailyCopyRevenue,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DailyCopyRevenue.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailycopyrevenue,yes,yes,18,15,0,83.3,OK
BI_DB_dbo,BI_DB_DailyDividendsByPosition,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DailyDividendsByPosition.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailydividendsbyposition,yes,yes,29,29,0,100.0,OK
BI_DB_dbo,BI_DB_DailyPanel_Copy,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DailyPanel_Copy.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailypanel_copy,yes,yes,57,57,0,100.0,OK
BI_DB_dbo,BI_DB_DailyZeroPnL_Stocks,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DailyZeroPnL_Stocks.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailyzeropnl_stocks,yes,yes,29,23,0,79.3,OK
BI_DB_dbo,BI_DB_DailyZero_TreeSize_NEW,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DailyZero_TreeSize_NEW.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailyzero_treesize_new,yes,yes,38,32,0,84.2,OK
BI_DB_dbo,BI_DB_Daily_CreditLine,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Daily_CreditLine.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_daily_creditline,yes,yes,16,16,0,100.0,OK
BI_DB_dbo,BI_DB_Daily_Dividends,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Daily_Dividends.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_daily_dividends,yes,yes,17,13,0,76.5,OK
BI_DB_dbo,BI_DB_Demo_CID_Panel,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Demo_CID_Panel.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_demo_cid_panel,yes,yes,9,8,0,88.9,OK
BI_DB_dbo,BI_DB_DepositUsersFirstTouchPoints,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DepositUsersFirstTouchPoints.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_depositusersfirsttouchpoints,yes,yes,38,38,0,100.0,OK
BI_DB_dbo,BI_DB_DepositWithdrawFee,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DepositWithdrawFee.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_depositwithdrawfee,yes,yes,48,45,0,93.8,OK
BI_DB_dbo,BI_DB_DepositWithdrawFee_Reversals,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DepositWithdrawFee_Reversals.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_depositwithdrawfee_reversals,yes,yes,45,44,0,97.8,OK
BI_DB_dbo,BI_DB_Deposit_Reversals_PIPs,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Deposit_Reversals_PIPs.md,yes,main.general.gold_sql_dp_prod_we_bi_db_dbo_bi_db_deposit_reversals_pips,yes,yes,37,35,0,94.6,OK
BI_DB_dbo,BI_DB_Fact_Customer_Action_Position_Distribution,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Fact_Customer_Action_Position_Distribution.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_fact_customer_action_position_distribution,yes,yes,40,39,0,97.5,OK
BI_DB_dbo,BI_DB_Finance_Audit_Auxillary_Datapoints,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Finance_Audit_Auxillary_Datapoints.md,yes,main.finance.gold_sql_dp_prod_we_bi_db_dbo_bi_db_finance_audit_auxillary_datapoints,yes,yes,13,13,0,100.0,OK
BI_DB_dbo,BI_DB_Finance_Non_US_Settlement_New_2025,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Finance_Non_US_Settlement_New_2025.md,yes,main.finance.gold_sql_dp_prod_we_bi_db_dbo_bi_db_finance_non_us_settlement_new_2025,yes,yes,47,47,0,100.0,OK
BI_DB_dbo,BI_DB_Finance_eToro_vs_Positions,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Finance_eToro_vs_Positions.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_finance_etoro_vs_positions,yes,yes,40,40,0,100.0,OK
BI_DB_dbo,BI_DB_First5Actions,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_First5Actions.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_first5actions,yes,yes,86,84,0,97.7,OK
BI_DB_dbo,BI_DB_ICF_Report,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ICF_Report.md,no,,no,no,0,0,0,0.0,MISSING_IN_UC
BI_DB_dbo,BI_DB_IFRS15_Daily_Balance,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_IFRS15_Daily_Balance.md,yes,main.finance.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ifrs15_daily_balance,yes,yes,20,20,0,100.0,OK
