source_id,source_label,scope,target_date,target_dateid,poll_at_utc,elapsed_ms,row_count,fingerprint_json
BI_DB_PositionPnL,BI_DB_dbo.BI_DB_PositionPnL,WHERE DateID = @dateid (crypto + non-crypto; SP filters crypto downstream),2026-06-22,20260622,2026-06-23T04:00:02,5594,141724912,"{""row_count"": 141724912, ""distinct_cids"": 2794864, ""distinct_instruments"": 10527, ""distinct_positions"": 141724912, ""sum_nop"": 15227577658.5255, ""sum_units"": 14163241582.417503, ""sum_amount"": 15265202332.604, ""sum_position_pnl"": -454405007.02}"
BI_DB_PositionPnL_crypto_only,BI_DB_dbo.BI_DB_PositionPnL (joined to crypto Dim_Instrument),Exactly what #pnl_posDist produces in the SP,2026-06-22,20260622,2026-06-23T04:00:02,3685,24437970,"{""row_count"": 24437970, ""distinct_cids"": 1605724, ""distinct_instruments"": 288, ""sum_nop"": 3663738479.6, ""sum_units"": 11487672182.326326}"
Dim_Position_matched_to_crypto_PnL,DWH_dbo.Dim_Position (intersected with crypto PositionPnL @dateid),Mirrors the SP's #pos join: only positions whose PositionID is in crypto PositionPnL @dateid AND satisfy OpenDateID <= @dateid AND (CloseDateID > @dateid OR CloseDateID = 0),2026-06-22,20260622,2026-06-23T04:00:02,4559,24437970,"{""row_count"": 24437970, ""distinct_positions"": 24437970, ""opened_on_date"": 12614, ""closed_on_date"": 0, ""sum_initial_amount_cents"": 550097952622.0}"
Dim_Instrument_crypto,DWH_dbo.Dim_Instrument (InstrumentTypeID = 10),All-time crypto instruments referenced by the SP,2026-06-22,20260622,2026-06-23T04:00:02,1153,823,"{""row_count"": 823, ""max_instrument_id"": 228002, ""distinct_buy_currencies"": 706, ""distinct_sell_currencies"": 24}"
Fact_CurrencyPriceWithSplit,DWH_dbo.Fact_CurrencyPriceWithSplit,WHERE OccurredDateID = @dateid (drives EOD_Bid_Price),2026-06-22,20260622,2026-06-23T04:00:02,176,16017,"{""row_count"": 16017, ""distinct_instruments"": 16017, ""sum_bid"": 21170808.504696, ""sum_ask"": 21205932.524192, ""max_bid"": 10332947.71}"
Fact_CurrencyPriceWithSplit_crypto,DWH_dbo.Fact_CurrencyPriceWithSplit (joined to crypto Dim_Instrument),Subset actually used in #NOP_1/#NOP_2 inner join,2026-06-22,20260622,2026-06-23T04:00:02,329,795,"{""row_count"": 795, ""distinct_instruments"": 795, ""sum_bid"": 14075803.24052}"
Fact_SnapshotCustomer,DWH_dbo.Fact_SnapshotCustomer @ @dateid (via Dim_Range),Exactly what #fsc selects,2026-06-22,20260622,2026-06-23T04:00:02,1385,48170010,"{""row_count"": 48170010, ""distinct_real_cids"": 48170010, ""sum_iscb_valid"": 47409157, ""dlt_user_count"": 98461}"
Dim_Customer,"DWH_dbo.Dim_Customer (TanganyStatusID, RegisteredReal)",Full table size + Tangany distribution + registrations <= @date,2026-06-22,20260622,2026-06-23T04:00:02,351,48170010,"{""row_count"": 48170010, ""distinct_tangany_statuses"": 6, ""registered_real_le_date"": 48161043, ""registered_real_eq_date"": 8967}"
V_GermanBaFin,BI_DB_dbo.V_GermanBaFin @ @dateid,WHERE DateID = @dateid (drives IsGermanBaFin flag),2026-06-22,20260622,2026-06-23T04:00:02,3357,152453,"{""row_count"": 152453, ""distinct_cids"": 152453}"
External_TanganyStatus_dict,BI_DB_dbo.External_UserApiDB_Dictionary_TanganyStatus,Tangany status lookup (full table),2026-06-22,20260622,2026-06-23T04:00:02,2330,6,"{""row_count"": 6, ""max_id"": 6, ""distinct_names"": 6}"
Apex_Enrolment_optout_general,"Apex UserProgramEnrolment + History — opt-out (UserProgramID=2, status=2)",Exactly what #opt_out_general selects,2026-06-22,20260622,2026-06-23T04:00:02,13889,1595610,"{""row_count"": 1595610, ""distinct_gcids"": 1595610}"
Apex_Enrolment_optin_ETH,"Apex UserProgramEnrolment + History — opt-in ETH (UserProgramID=3, status=1)",Exactly what #opt_in_ETH selects,2026-06-22,20260622,2026-06-23T04:00:02,14760,369384,"{""row_count"": 369384, ""distinct_gcids"": 369384}"
